Time	Channel A
(us)	(mV)

-3.02399985	-383.38150000
-2.99999985	-383.38150000
-2.97599986	-383.38150000
-2.95199986	-383.38150000
-2.92799986	-383.38150000
-2.90399986	-383.38150000
-2.87999986	-383.38150000
-2.85599986	-383.38150000
-2.83199986	-378.70630000
-2.80799987	-378.70630000
-2.78399987	-383.38150000
-2.75999987	-383.38150000
-2.73599987	-378.70630000
-2.71199987	-383.38150000
-2.68799987	-378.70630000
-2.66399988	-378.70630000
-2.63999988	-378.70630000
-2.61599988	-383.38150000
-2.59199988	-378.70630000
-2.56799988	-383.38150000
-2.54399988	-378.70630000
-2.51999989	-378.70630000
-2.49599989	-378.70630000
-2.47199989	-378.70630000
-2.44799989	-378.70630000
-2.42399989	-378.70630000
-2.39999989	-378.70630000
-2.37599989	-378.70630000
-2.35199990	-378.70630000
-2.32799990	-378.70630000
-2.30399990	-378.70630000
-2.27999990	-378.70630000
-2.25599990	-374.03110000
-2.23199990	-378.70630000
-2.20799991	-378.70630000
-2.18399991	-378.70630000
-2.15999991	-378.70630000
-2.13599991	-374.03110000
-2.11199991	-374.03110000
-2.08799991	-374.03110000
-2.06399991	-374.03110000
-2.03999992	-374.03110000
-2.01599992	-374.03110000
-1.99199992	-374.03110000
-1.96799992	-374.03110000
-1.94399992	-378.70630000
-1.91999992	-378.70630000
-1.89599993	-378.70630000
-1.87199993	-374.03110000
-1.84799993	-374.03110000
-1.82399993	-374.03110000
-1.79999993	-374.03110000
-1.77599993	-374.03110000
-1.75199994	-378.70630000
-1.72799994	-374.03110000
-1.70399994	-378.70630000
-1.67999994	-374.03110000
-1.65599994	-374.03110000
-1.63199994	-374.03110000
-1.60799994	-374.03110000
-1.58399995	-374.03110000
-1.55999995	-374.03110000
-1.53599995	-374.03110000
-1.51199995	-374.03110000
-1.48799995	-374.03110000
-1.46399995	-374.03110000
-1.43999996	-374.03110000
-1.41599996	-369.35590000
-1.39199996	-374.03110000
-1.36799996	-374.03110000
-1.34399996	-374.03110000
-1.31999996	-378.70630000
-1.29599997	-374.03110000
-1.27199997	-374.03110000
-1.24799997	-374.03110000
-1.22399997	-369.35590000
-1.19999997	-374.03110000
-1.17599997	-374.03110000
-1.15199997	-374.03110000
-1.12799998	-369.35590000
-1.10399998	-369.35590000
-1.07999998	-369.35590000
-1.05599998	-369.35590000
-1.03199998	-374.03110000
-1.00799998	-369.35590000
-0.98399999	-369.35590000
-0.95999999	-364.68070000
-0.93599999	-369.35590000
-0.91199999	-369.35590000
-0.88799999	-369.35590000
-0.86399999	-369.35590000
-0.83999999	-369.35590000
-0.81600000	-369.35590000
-0.79200000	-369.35590000
-0.76800000	-369.35590000
-0.74400000	-369.35590000
-0.72000000	-369.35590000
-0.69600000	-369.35590000
-0.67200001	-364.68070000
-0.64800001	-369.35590000
-0.62400001	-364.68070000
-0.60000001	-364.68070000
-0.57600001	-364.68070000
-0.55200001	-364.68070000
-0.52800002	-364.68070000
-0.50400002	-369.35590000
-0.48000002	-369.35590000
-0.45600002	-364.68070000
-0.43200002	-364.68070000
-0.40800002	-360.00550000
-0.38400002	-360.00550000
-0.36000003	-364.68070000
-0.33600003	-364.68070000
-0.31200003	-364.68070000
-0.28800003	-364.68070000
-0.26400003	-364.68070000
-0.24000003	-360.00550000
-0.21600004	-360.00550000
-0.19200004	-360.00550000
-0.16800004	-360.00550000
-0.14400004	-360.00550000
-0.12000004	-360.00550000
-0.09600004	-355.33030000
-0.07200005	-355.33030000
-0.04800005	-355.33030000
-0.02400005	-360.00550000
-0.00000005	-350.65510000
0.02399995	-350.65510000
0.04799995	-350.65510000
0.07199995	-355.33030000
0.09599994	-350.65510000
0.11999994	-350.65510000
0.14399994	-350.65510000
0.16799994	-350.65510000
0.19199994	-350.65510000
0.21599994	-350.65510000
0.23999993	-350.65510000
0.26399993	-345.97990000
0.28799993	-350.65510000
0.31199993	-350.65510000
0.33599993	-350.65510000
0.35999993	-345.97990000
0.38399993	-345.97990000
0.40799992	-345.97990000
0.43199992	-345.97990000
0.45599992	-350.65510000
0.47999992	-350.65510000
0.50399992	-350.65510000
0.52799992	-345.97990000
0.55199991	-350.65510000
0.57599991	-350.65510000
0.59999991	-350.65510000
0.62399991	-345.97990000
0.64799991	-350.65510000
0.67199991	-355.33030000
0.69599990	-350.65510000
0.71999990	-355.33030000
0.74399990	-355.33030000
0.76799990	-355.33030000
0.79199990	-360.00550000
0.81599990	-360.00550000
0.83999990	-360.00550000
0.86399989	-360.00550000
0.88799989	-360.00550000
0.91199989	-364.68070000
0.93599989	-360.00550000
0.95999989	-364.68070000
0.98399989	-369.35590000
1.00799988	-364.68070000
1.03199988	-369.35590000
1.05599988	-369.35590000
1.07999988	-369.35590000
1.10399988	-374.03110000
1.12799988	-374.03110000
1.15199988	-374.03110000
1.17599987	-378.70630000
1.19999987	-374.03110000
1.22399987	-378.70630000
1.24799987	-378.70630000
1.27199987	-378.70630000
1.29599987	-378.70630000
1.31999986	-378.70630000
1.34399986	-378.70630000
1.36799986	-383.38150000
1.39199986	-378.70630000
1.41599986	-383.38150000
1.43999986	-383.38150000
1.46399985	-383.38150000
1.48799985	-383.38150000
1.51199985	-388.05670000
1.53599985	-383.38150000
1.55999985	-388.05670000
1.58399985	-383.38150000
1.60799985	-383.38150000
1.63199984	-388.05670000
1.65599984	-383.38150000
1.67999984	-388.05670000
1.70399984	-388.05670000
1.72799984	-383.38150000
1.75199984	-388.05670000
1.77599983	-388.05670000
1.79999983	-388.05670000
1.82399983	-388.05670000
1.84799983	-388.05670000
1.87199983	-383.38150000
1.89599983	-388.05670000
1.91999982	-388.05670000
1.94399982	-388.05670000
1.96799982	-388.05670000
1.99199982	-388.05670000
2.01599982	-383.38150000
2.03999982	-392.73190000
2.06399982	-388.05670000
2.08799981	-388.05670000
2.11199981	-388.05670000
2.13599981	-388.05670000
2.15999981	-388.05670000
2.18399981	-388.05670000
2.20799981	-388.05670000
2.23199980	-388.05670000
2.25599980	-392.73190000
2.27999980	-388.05670000
2.30399980	-388.05670000
2.32799980	-388.05670000
2.35199980	-388.05670000
2.37599980	-388.05670000
2.39999979	-388.05670000
2.42399979	-388.05670000
2.44799979	-388.05670000
2.47199979	-388.05670000
2.49599979	-388.05670000
2.51999979	-388.05670000
2.54399978	-388.05670000
2.56799978	-388.05670000
2.59199978	-388.05670000
2.61599978	-388.05670000
2.63999978	-388.05670000
2.66399978	-388.05670000
2.68799977	-388.05670000
2.71199977	-388.05670000
2.73599977	-388.05670000
2.75999977	-388.05670000
2.78399977	-388.05670000
2.80799977	-388.05670000
2.83199977	-388.05670000
2.85599976	-388.05670000
2.87999976	-388.05670000
2.90399976	-392.73190000
2.92799976	-388.05670000
2.95199976	-388.05670000
2.97599976	-388.05670000
2.99999975	-392.73190000
3.02399975	-388.05670000
3.04799975	-392.73190000
3.07199975	-392.73190000
3.09599975	-388.05670000
3.11999975	-392.73190000
3.14399974	-388.05670000
3.16799974	-388.05670000
3.19199974	-388.05670000
3.21599974	-388.05670000
3.23999974	-388.05670000
3.26399974	-388.05670000
3.28799974	-388.05670000
3.31199973	-388.05670000
3.33599973	-392.73190000
3.35999973	-388.05670000
3.38399973	-388.05670000
3.40799973	-392.73190000
3.43199973	-388.05670000
3.45599972	-388.05670000
3.47999972	-388.05670000
3.50399972	-388.05670000
3.52799972	-392.73190000
3.55199972	-388.05670000
3.57599972	-388.05670000
3.59999972	-388.05670000
3.62399971	-392.73190000
3.64799971	-392.73190000
3.67199971	-388.05670000
3.69599971	-388.05670000
3.71999971	-392.73190000
3.74399971	-388.05670000
3.76799970	-392.73190000
3.79199970	-388.05670000
3.81599970	-392.73190000
3.83999970	-388.05670000
3.86399970	-392.73190000
3.88799970	-388.05670000
3.91199969	-392.73190000
3.93599969	-388.05670000
3.95999969	-388.05670000
3.98399969	-392.73190000
4.00799969	-388.05670000
4.03199969	-388.05670000
4.05599969	-388.05670000
4.07999968	-388.05670000
4.10399968	-392.73190000
4.12799968	-388.05670000
4.15199968	-392.73190000
4.17599968	-388.05670000
4.19999968	-392.73190000
4.22399967	-392.73190000
4.24799967	-392.73190000
4.27199967	-392.73190000
4.29599967	-392.73190000
4.31999967	-392.73190000
4.34399967	-392.73190000
4.36799967	-392.73190000
4.39199966	-388.05670000
4.41599966	-392.73190000
4.43999966	-392.73190000
4.46399966	-388.05670000
4.48799966	-392.73190000
4.51199966	-388.05670000
4.53599965	-392.73190000
4.55999965	-388.05670000
4.58399965	-392.73190000
4.60799965	-388.05670000
4.63199965	-392.73190000
4.65599965	-388.05670000
4.67999964	-392.73190000
4.70399964	-388.05670000
4.72799964	-388.05670000
4.75199964	-388.05670000
4.77599964	-392.73190000
4.79999964	-388.05670000
4.82399964	-392.73190000
4.84799963	-388.05670000
4.87199963	-392.73190000
4.89599963	-388.05670000
4.91999963	-392.73190000
4.94399963	-388.05670000
4.96799963	-392.73190000
4.99199962	-392.73190000
5.01599962	-392.73190000
5.03999962	-388.05670000
5.06399962	-388.05670000
5.08799962	-388.05670000
5.11199962	-392.73190000
5.13599961	-392.73190000
5.15999961	-392.73190000
5.18399961	-392.73190000
5.20799961	-392.73190000
5.23199961	-392.73190000
5.25599961	-392.73190000
5.27999961	-388.05670000
5.30399960	-392.73190000
5.32799960	-392.73190000
5.35199960	-392.73190000
5.37599960	-392.73190000
5.39999960	-392.73190000
5.42399960	-392.73190000
5.44799959	-392.73190000
5.47199959	-392.73190000
5.49599959	-392.73190000
5.51999959	-392.73190000
5.54399959	-392.73190000
5.56799959	-388.05670000
5.59199959	-392.73190000
5.61599958	-388.05670000
5.63999958	-392.73190000
5.66399958	-392.73190000
5.68799958	-388.05670000
5.71199958	-392.73190000
5.73599958	-388.05670000
5.75999957	-392.73190000
5.78399957	-392.73190000
5.80799957	-388.05670000
5.83199957	-392.73190000
5.85599957	-392.73190000
5.87999957	-392.73190000
5.90399956	-392.73190000
5.92799956	-392.73190000
5.95199956	-392.73190000
5.97599956	-392.73190000
5.99999956	-388.05670000
6.02399956	-392.73190000
6.04799956	-392.73190000
6.07199955	-392.73190000
6.09599955	-392.73190000
6.11999955	-392.73190000
6.14399955	-388.05670000
6.16799955	-392.73190000
6.19199955	-392.73190000
6.21599954	-392.73190000
6.23999954	-392.73190000
6.26399954	-392.73190000
6.28799954	-392.73190000
6.31199954	-388.05670000
6.33599954	-392.73190000
6.35999954	-392.73190000
6.38399953	-392.73190000
6.40799953	-392.73190000
6.43199953	-392.73190000
6.45599953	-388.05670000
6.47999953	-392.73190000
6.50399953	-392.73190000
6.52799952	-388.05670000
6.55199952	-392.73190000
6.57599952	-392.73190000
6.59999952	-392.73190000
6.62399952	-392.73190000
6.64799952	-392.73190000
6.67199951	-392.73190000
6.69599951	-392.73190000
6.71999951	-388.05670000
6.74399951	-392.73190000
6.76799951	-392.73190000
6.79199951	-392.73190000
6.81599951	-392.73190000
6.83999950	-392.73190000
6.86399950	-392.73190000
6.88799950	-392.73190000
6.91199950	-392.73190000
6.93599950	-392.73190000
6.95999950	-392.73190000
6.98399949	-388.05670000
7.00799949	-388.05670000
7.03199949	-392.73190000
7.05599949	-392.73190000
